"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Idle TX","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5ToneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Aias","AnaAprsTxPath","ARC4","ex_emg_kind","idle_tx","Compand","DisturEn","DisturFreq","Rpga_Mdc","dmr_crc_ignore","TxCc"
"1","HOTSPOT","431.15000","431.00000","D-Digital","Low","25K","Off","Off","WW","Group Call","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","Scan List 1","Group List 1","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","1"
"2","CQ0URVM","439.32500","431.72500","A-Analog","High","25K","Off","74.4","WW","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
