Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMST,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,"74,4 Hz",IM58JR,"38º 43' 57"" ,780 N","09º 11' 22"" ,180 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0USMA,"430 - 440 MHz
","438,7500 MHz
","431,1500 MHz
",RU700,67 Hz,IM69HH,"39º 18' 45"" ,500 N","07º 21' 30"" ,720 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UHU,"430 - 440 MHz
","438,9500 MHz
","431,3500 MHz
",RU716,"74,4 Hz",IM58JR,"38º 43' 57"" ,780 N","09º 11' 22"" ,180 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSF,"144 - 146 MHz
","145,6125 MHz
","145,0125 MHz
",RV49,123 Hz,IN50UU,"40º 50' 41"" ,680 N","08º 16' 45"" ,480 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCAN,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,"131,8 Hz",IM59MK,"39º 26' 03"" ,460 N","08º 55' 19"" ,160 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0USF,"430 - 440 MHz
","438,7250 MHz
","431,1250 MHz
",RU698,123 Hz,IN50uu,"40º 50' 41"" ,680 N","08º 16' 45"" ,480 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UEC,"430 - 440 MHz
","438,8750 MHz
","431,2750 MHz
",RU710,"74,4 Hz",IM58JT,"38º 48' 45"" ,870 N","09º 11' 53"" ,450 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSMA,"144 - 146 MHz
","145,6625 MHz
","145,0625 MHz
",RV53,123 Hz,IM69HH,"39º 18' 45"" ,500 N","07º 21' 30"" ,720 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UTV,"430 - 440 MHz
","439,3000 MHz
","431,7000 MHz
",RU744,"131,8 Hz",IN50VC,"40º 05' 27"" ,830 N","08º 10' 42"" ,660 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCB,"430 - 440 MHz
","439,2500 MHz
","431,6500 MHz
",RU740,"82,5 Hz",IM69GT,"39º 49' 34"" ,160 N","07º 28' 30"" ,390 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAE,"430 - 440 MHz
","438,8000 MHz
","431,2000 MHz
",RU704,123 Hz,IN50TT,"40º 48' 08"" ,930 N","08º 22' 11"" ,210 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VEC,"144 - 146 MHz
","145,6625 MHz
","145,0625 MHz
",RV53,"74,4 Hz",IM58JT,"38º 48' 46"" ,210 N","09º 11' 53"" ,070 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VCSC,"144 - 146 MHz
","145,6000 MHz
","145,0000 MHz
",RV48,"74,4 Hz",IM58GQ,"38º 42' 23"" ,310 N","09º 25' 59"" ,250 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSP,"144 - 146 MHz
","145,7500 MHz
","145,1500 MHz
",RV60,"82,5 Hz",IM67EW,"37º 56' 09"" ,160 N","07º 35' 42"" ,000 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UREP,"430 - 440 MHz
","439,0250 MHz
","431,4250 MHz
",RU722,"74,4 Hz",IM58JQ,"38º 40' 25"" ,970 N","09º 10' 38"" ,430 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UPS,"430 - 440 MHz
","439,0000 MHz
","431,4000 MHz
",RU720,"131,8 Hz",IN60AA,"40º 01' 51"" ,020 N","07º 56' 54"" ,850 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0USC,"430 - 440 MHz
","439,0500 MHz
","431,4500 MHz
",RU724,"74,4 Hz",IM58KX,"38º 58' 21"" ,600 N","09º 06' 15"" ,450 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMN,"430 - 440 MHz
","439,3500 MHz
","431,7500 MHz
",RU748,,IM58VP,"38º 37' 42"" ,970 N","08º 13' 49"" ,840 W"
Rede dos Emissores Portugueses,R.A. Madeira,Estação repetidora de modulação analógica,CQ2UMAD,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,"82,5 Hz",IM12NP,"32º 39' 20"" ,030 N","16º 52' 24"" ,280 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMC,"430 - 440 MHz
","439,1750 MHz
","431,5750 MHz
",RU734,"74,4 Hz",IM58JV,"38º 53' 52"" ,320 N","09º 11' 35"" ,060 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UP,"430 - 440 MHz
","439,2750 MHz
","431,6750 MHz
",RU742,67 Hz,IM69HH,"39º 18' 45"" ,500 N","07º 21' 30"" ,720 W"
Rede dos Emissores Portugueses,R.A. Madeira,Estação repetidora de modulação analógica,CQ2UFX,"430 - 440 MHz
","438,7000 MHz
","431,1000 MHz
",RU696,67 Hz,IM12NQ,"32º 41' 35"" ,620 N","16º 54' 13"" ,140 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMF,"430 - 440 MHz
","439,4250 MHz
","431,8250 MHz
",RU754,"131,8 Hz",IM57QH,"37º 18' 54"" ,000 N","08º 35' 17"" ,320 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCL,"430 - 440 MHz
","439,3250 MHz
","431,7250 MHz
",RU746,123 Hz,IN50VN,"40º 33' 09"" ,170 N","08º 10' 48"" ,490 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VMC,"144 - 146 MHz
","145,6750 MHz
","145,0750 MHz
",RV54,"74,4 Hz",IM58JV,"38º 53' 52"" ,320 N","09º 11' 35"" ,060 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UM,"430 - 440 MHz
","438,6750 MHz
","431,0750 MHz
",RU694,"74,4 Hz",IM59LE,"39º 10' 25"" ,140 N","09º 03' 03"" ,660 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMM,"430 - 440 MHz
","438,9250 MHz
","431,3250 MHz
",RU714,"131,8 Hz",IM67CC,"37º 06' 06"" ,000 N","07º 49' 56"" ,000 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0UKE,"430 - 440 MHz
","438,8250 MHz
","431,2250 MHz
",RU706,"74,4 Hz",IM59hc,"39º 06' 50"" ,980 N","09º 22' 31"" ,870 W"
Tertúlia Radioamadorística Guglielmo Marconi,Portugal Continental,Estação repetidora de modulação analógica,CQ0VTM,"144 - 146 MHz
","145,7750 MHz
","145,1750 MHz
",RV62,"82,5 Hz",IN50TG,"40º 15' 30"" ,100 N","08º 20' 58"" ,420 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VFLW,"144 - 146 MHz
","145,7875 MHz
","145,1875 MHz
",RV63,"88,5 Hz",HM49JK,"39º 26' 43"" ,960 N","31º 10' 11"" ,630 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UMB,"430 - 440 MHz
","438,7500 MHz
","431,1500 MHz
",RU700,"88,5 Hz",HM68JP,"38º 38' 50"" ,000 N","27º 13' 31"" ,000 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VSB,"144 - 146 MHz
","145,7000 MHz
","145,1000 MHz
",RV56,"88,5 Hz",HM68IR,"38º 43' 48"" ,000 N","27º 19' 07"" ,000 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UMS,"430 - 440 MHz
","438,7750 MHz
","431,1750 MHz
",RU702,"88,5 Hz",HN66gw,"38º 47' 57"" ,160 N","27º 17' 27"" ,650 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VCM,"144 - 146 MHz
","145,7250 MHz
","145,1250 MHz
",RV58,"88,5 Hz",HM68KR,"38º 42' 43"" ,318 N","27º 06' 50"" ,551 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VSJ,"144 - 146 MHz
","145,6375 MHz
","145,0375 MHz
",RV51,67 Hz,HM68BN,"38º 32' 46"" ,210 N","27º 50' 39"" ,530 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1VGR,"144 - 146 MHz
","145,6125 MHz
","145,0125 MHz
",RV49,67 Hz,HM59XA,"39º 02' 08"" ,900 N","28º 01' 44"" ,470 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1UCM,"430 - 440 MHz
","438,7250 MHz
","431,1250 MHz
",RU698,"88,5 Hz",HM68KR,"38º 42' 43"" ,318 N","27º 06' 50"" ,551 W"
União de Radioamadores dos Açores,R.A. Açores,Estação repetidora de modulação analógica,CQ1USB,"430 - 440 MHz
","438,7000 MHz
","431,1000 MHz
",RU696,"88,5 Hz",HM68IR,"38º 43' 48"" ,000 N","27º 19' 07"" ,000 W"
