Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Associação de Radioamadores da Linha de Cascais,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCSC,"430 - 440 MHz
","438,7250 MHz
","431,1250 MHz
",RU698,"74,4 Hz",IF51HG,"38º 43' 49"" ,140 N","09º 24' 34"" ,720 W"
Associação de Radioamadores da Linha de Cascais,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCAS,"430 - 440 MHz
","439,2750 MHz
","431,6750 MHz
",RU742,"74,4 Hz",IM58GS,"38º 46' 06"" ,590 N","09º 27' 38"" ,020 W"
Associação de Radioamadores da Região de Lisboa,Portugal Continental,Estação repetidora de modulação analógica,CQ0VDLX,"144 - 146 MHz
","145,7750 MHz
","145,1750 MHz
",RV62,"74,4 Hz",IM58JS,"38º 46' 37"" ,390 N","09º 14' 40"" ,290 W"
Associação de Radioamadores da Região de Lisboa,Portugal Continental,Estação repetidora de modulação analógica,CQ0UDA,"430 - 440 MHz
","438,9000 MHz
","431,3000 MHz
",RU712,"114,8 Hz",IM68AN,"38º 34' 51"" ,450 N","07º 56' 17"" ,980 W"
Associação de Radioamadores da Região de Lisboa,Portugal Continental,Estação repetidora de modulação analógica,CQ0UDE,"430 - 440 MHz
","439,2000 MHz
","431,6000 MHz
",RU736,"114,8 Hz",IN60FH,"40º 18' 46"" ,890 N","07º 32' 58"" ,760 W"
Associação de Radioamadores da Região de Lisboa,Portugal Continental,Estação repetidora de modulação analógica,CQ0UFLX,"430 - 440 MHz
","439,1000 MHz
","431,5000 MHz
",RU728,"74,4 Hz",IM58JP,"38º 37' 54"" ,670 N","09º 11' 53"" ,310 W"
Associação de Radioamadores da Vila de Moscavide,Portugal Continental,Estação repetidora de modulação analógica,CQ0URVM,"430 - 440 MHz
","439,3250 MHz
","431,7250 MHz
",RU746,"74,4 Hz",IM58KV,"38º 53' 35"" ,550 N","09º 06' 39"" ,050 W"
Associação de Radioamadores de Coimbra,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCOI,"430 - 440 MHz
","439,1500 MHz
","431,5500 MHz
",RU732,"131,8 Hz",IN50SE,"40º 12' 01"" ,850 N","08º 26' 43"" ,870 W"
Associação de Radioamadores de Coimbra,Portugal Continental,Estação repetidora de modulação analógica,CQ0UARC,"430 - 440 MHz
","438,7750 MHz
","431,1750 MHz
",RU702,"131,8 Hz",IN50SE,"40º 12' 00"" ,200 N","08º 26' 43"" ,600 W"
Associação de Radioamadores do Alto Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSA,"144 - 146 MHz
","145,6250 MHz
","145,0250 MHz
",RV50,123 Hz,IN51PT,"41º 48' 18"" ,600 N","08º 41' 51"" ,000 W"
Associação de Radioamadores do Alto Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UFV,"430 - 440 MHz
","439,4000 MHz
","431,8000 MHz
",RU752,"114,8 Hz",IN52qa,"42º 01' 19"" ,300 N","08º 35' 35"" ,600 W"
Associação de Radioamadores do Alto Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0USA,"430 - 440 MHz
","438,6500 MHz
","431,0500 MHz
",RU692,67 Hz,IN51PT,"41º 48' 18"" ,600 N","08º 41' 51"" ,000 W"
Associação de Radioamadores do Alto Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAV,"430 - 440 MHz
","439,3250 MHz
","431,7250 MHz
",RU746,67 Hz,IN51UW,"41º 58' 40"" ,000 N","08º 25' 15"" ,000 W"
Associação de Radioamadores do Alto Tâmega,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAT,"430 - 440 MHz
","438,6750 MHz
","431,0750 MHz
",RU694,67 Hz,IN61HU,"41º 50' 38"" ,660 N","07º 20' 07"" ,580 W"
Associação de Radioamadores do Alto Tâmega,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMR,"430 - 440 MHz
","439,1500 MHz
","431,5500 MHz
",RU732,123 Hz,IN61BF,"41º 14' 53"" ,160 N","07º 53' 09"" ,450 W"
Associação de Radioamadores do Alto Tâmega,Portugal Continental,Estação repetidora de modulação analógica,CQ0VMI,"144 - 146 MHz
","145,7750 MHz
","145,1750 MHz
",RV62,123 Hz,IN61DN,"41º 32' 57"" ,400 N","07º 41' 18"" ,700 W"
Associação de Radioamadores do Alto Tâmega,Portugal Continental,Estação repetidora de modulação analógica,CQ0VPD,"144 - 146 MHz
","145,6750 MHz
","145,0750 MHz
",RV54,123 Hz,IN61FN,"41º 33' 41"" ,060 N","07º 31' 01"" ,050 W"
